Movie Name,Stars,Genre,Release Year,MPAA Rating
Wicked,4,Musical,2024,PG
Deadpool & Wolverine,4,Action/Adventure,2024,R
Red One,3,Action/Adventure,2024,PG-13
Inside Out 2,4,Family and Kids,2024,PG
Nosferatu,4,Horror,2024,R
IF,4,Family and Kids,2024,PG
Captain America: Brave New World,3,Action/Adventure,2025,PG-13
Gladiator II,3,Action/Adventure,2024,R
XXX,2,Action/Adventure,2002,PG-13
Mufasa: The Lion King,3,Family and Kids,2024,PG
Moana 2,4,Family and Kids,2024,PG
Twisters,3,Action/Adventure,2024,PG-13
The Wild Robot,5,Family and Kids,2024,PG
A Complete Unknown,3,Drama,2024,R
Snow White (2025),3,Family and Kids,2025,PG
Dog Man,4,Family and Kids,2025,PG
Jaws,4,Horror,1975,PG
It Ends with Us,4,Romance,2024,PG-13
Sonic the Hedgehog 3,4,Family and Kids,2024,PG
Wicked,4,Musical,2024,PG
Deadpool & Wolverine,4,Action/Adventure,2024,R
Red One,3,Action/Adventure,2024,PG-13
Inside Out 2,4,Family and Kids,2024,PG
Nosferatu,4,Horror,2024,R
IF,4,Family and Kids,2024,PG
Captain America: Brave New World,3,Action/Adventure,2025,PG-13
Gladiator II,3,Action/Adventure,2024,R
Deadpool,4,Action/Adventure,2016,R
XXX,2,Action/Adventure,2002,PG-13
Mufasa: The Lion King,3,Family and Kids,2024,PG
Moana 2,4,Family and Kids,2024,PG
Twisters,3,Action/Adventure,2024,PG-13
The Wild Robot,5,Family and Kids,2024,PG
A Complete Unknown,3,Drama,2024,R
Snow White (2025),3,Family and Kids,2025,PG
Dog Man,4,Family and Kids,2025,PG
Jaws,4,Horror,1975,PG
It Ends with Us,4,Romance,2024,PG-13
Sonic the Hedgehog 3,4,Family and Kids,2024,PG
Top Gun,4,Action/Adventure,1986,PG
Suicide Squad,2,Action/Adventure,2016,PG-13
A Minecraft Movie,3,Family and Kids,2025,PG
Jurassic Park,4,Science Fiction,1993,PG-13
The Brutalist,4,Drama,2024,R
Challengers,4,Drama,2024,R
Mean Girls,4,Comedy,2004,PG-13
Avatar,4,Science Fiction,2009,PG-13
Sharknado,3,Horror,2024,NR
Titanic,4,Romance,1997,PG-13
Dear Santa,3,Comedy,2024,PG-13
Jurassic World,3,Science Fiction,2015,PG-13
Ghostbusters,4,Comedy,1984,PG
Carry-On,3,Thriller,2024,PG-13
Logan,4,Action/Adventure,2017,R
Back to the Future,5,Science Fiction,1985,PG
Inside Out,5,Family and Kids,2015,PG
The Lion King,3,Family and Kids,2019,PG
The Goonies,4,Action/Adventure,1985,PG
Ant-Man,4,Action/Adventure,2015,PG-13
Top Gun,4,Action/Adventure,1986,PG
Suicide Squad,2,Action/Adventure,2016,PG-13
A Minecraft Movie,3,Family and Kids,2025,PG
Jurassic Park,4,Science Fiction,1993,PG-13
The Brutalist,4,Drama,2024,R
Challengers,4,Drama,2024,R
Mean Girls,4,Comedy,2004,PG-13
Avatar,4,Science Fiction,2009,PG-13
Sharknado,3,Horror,2024,NR
Titanic,4,Romance,1997,PG-13
Dear Santa,3,Comedy,2024,PG-13
Jurassic World,3,Science Fiction,2015,PG-13
Ghostbusters,4,Comedy,1984,PG
Carry-On,3,Thriller,2024,PG-13
Logan,4,Action/Adventure,2017,R
Back to the Future,5,Science Fiction,1985,PG
Inside Out,5,Family and Kids,2015,PG
The Lion King,3,Family and Kids,2019,PG
The Goonies,4,Action/Adventure,1985,PG
Ant-Man,4,Action/Adventure,2015,PG-13
Minions,3,Family and Kids,2015,PG
Get Out,4,Horror,2017,R
Fantastic Beasts and Where to Find Them,4,Fantasy,2016,PG-13
Indiana Jones and the Raiders of the Lost Ark,5,Action/Adventure,1981,PG
Pitch Perfect,4,Musical,2012,PG-13
Star Wars: Episode VII - The Force Awakens,4,Science Fiction,2015,PG-13
Fifty Shades of Grey,2,Drama,2015,R
Doctor Strange,4,Action/Adventure,2016,PG-13
Forrest Gump,5,Drama,1994,PG-13
The Addams Family,2,Family and Kids,2023,PG
Baby Driver,3,Action/Adventure,2017,R
Transformers One,4,Family and Kids,2024,PG
The Electric State,3,Fantasy,2025,PG-13
The Avengers,4,Action/Adventure,2012,PG-13
Baywatch (2017),1,Comedy,2017,R
Despicable Me 4,3,Family and Kids,2024,PG
Iron Man,4,Action/Adventure,2008,PG-13
La La Land,5,Romance,2016,PG-13
E.T.: The Extra-Terrestrial,5,Science Fiction,1982,PG
Watchmen,3,Action/Adventure,2009,R
The Maze Runner,3,Action/Adventure,2014,PG-13
Home Alone,4,Family and Kids,1990,PG
Hidden Figures,4,Drama,2016,PG
